name,accuracy,f1,precision,recall
model_0,0.7218323844829869,0.6989250353450294,0.7186466952323352,0.7218323844829869
model_1,0.8187806169733881,0.8163470282741334,0.8207795536536011,0.8187806169733881
model_2,0.6898914338673375,0.6833967142410111,0.6816577712549085,0.6898914338673375
model_3,0.7137561233946776,0.7138943810425254,0.7206151745987993,0.7137561233946776
model_4,0.7448364888123924,0.7397105628662185,0.7420260921880711,0.7448364888123924
model_5,0.8376472924665695,0.8337302372086356,0.840519466844316,0.8376472924665695
model_5,0.8349331391500067,0.8297213936608048,0.8395341792683011,0.8349331391500067
model_5,0.835826823778631,0.8303853090854345,0.842615539052146,0.835826823778631
model_5,0.8394677611545082,0.8354116046302338,0.8428421270554232,0.8394677611545082
model_5,0.8365550112538064,0.8321788405698411,0.8398886764165057,0.8365550112538064
model_5,0.8358599232093208,0.831661845693962,0.8386518297470191,0.8358599232093208
model_5,0.8378458890507083,0.8338637326141344,0.839122423149609,0.8378458890507083
